origin_location_id,destination_location_id,section_of_day,mean_distance,count_trips,origin_code,destination_code,origin_lat,destination_lat,origin_lon,destination_lon
5030,4996,morning,2.5,15,92129,91049,1.306864,1.300698,103.90646,103.88644
1896,2315,morning,1.9,9,21429,27341,1.347402,1.346637,103.710594,103.697784
3867,3840,afternoon,1.6,11,59401,59231,1.4270545,1.4353797,103.84615,103.83681
101,136,morning,0.9,166,101,136,1.26547264,1.362344869,103.821446,103.7674369
5538,4292,morning,2.2,23,65801,67111,1.39044,1.3910537,103.8857,103.902374
2748,2733,morning,3.1,12,43389,43291,1.347605,1.3579617,103.748344,103.76138
4978,5185,morning,2.3,11,85091,96259,1.3275491,1.3404301,103.94636,103.95125
21,6,morning,16.5,13,21,6,1.294860933,1.397535018,103.8058913,103.7474307
2440,2343,morning,1.3,10,28641,28051,1.3391789,1.33229,103.7461,103.74574
2318,1895,evening,2.24,14,27359,21421,1.3444144,1.3472031,103.696014,103.71033
3632,5818,evening,5.8,11,55039,59009,1.3891573,1.4284,103.843834,103.8361
2608,3316,morning,5.3,15,41029,50211,1.3233333,1.3230697,103.81631,103.85257
4252,3535,morning,3.3,16,66381,54089,1.3502047,1.36297,103.87122,103.84849
4237,4232,morning,0.6,8,66291,66231,1.3659364,1.3699483,103.86192,103.86438
1685,1395,morning,4.3,12,17239,11341,1.3124405,1.325515,103.76585,103.79283
4893,6651,morning,2.1,12,84249,84009,1.3294166,1.3245387,103.939606,103.92904
3291,2562,afternoon,1.7,25,50038,40019,1.3203375,1.3066441,103.842834,103.849205
4863,4893,evening,1.6,11,84031,84249,1.3242829,1.3294166,103.93004,103.939606
3865,3840,morning,1.2,15,59391,59231,1.4302111,1.4353797,103.84523,103.83681
